"","scrubbed_species_binomial","Height","Leaf_N","Leaf_P","Seed_mass","SLA","Wood_density","FAMILY_STD","GROWTHFORM_STD","GROWTHFORM_DIV","GROWTHFORM_GEN"
"1","Abarema adenophorum",NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA
"2","Abarema curvicarpa",NA,24,NA,NA,NA,NA,"Fabaceae","Tree","Tree","woody"
"3","Abarema jupunba",NA,21.975,NA,NA,24.77,0.57449375,"Fabaceae","Tree","Shrub_Tree","woody"
"4","Abarema laeta",NA,48.7,NA,NA,20.902,NA,NA,NA,NA,NA
"5","Abarema macradenia",NA,45.3,NA,NA,NA,0.438165791,"Fabaceae","Tree","Herb_Tree","woody"
"6","Abelmoschus esculentus",NA,NA,NA,55.1666666666667,NA,NA,NA,NA,NA,NA
"7","Abelmoschus manihot",NA,NA,NA,52.5,NA,NA,"Malvaceae","Herb","Herb","herbaceous"
"8","Abelmoschus moschatus",NA,NA,NA,26.2,NA,NA,NA,NA,NA,NA
"9","Abies alba",18.1337765957447,17.2,1.41,58.3699542857143,5.86639951307119,0.353003333333333,"Pinaceae","Tree","Tree","woody"
"10","Abies amabilis",66.4464,9.94,1.5,43.9338605714286,5.27000150749981,0.4,"Pinaceae","Tree","Tree","woody"
"11","Abies balsamea",5.26038943520408,16.6,1.3,6.49374727272727,11.2704177704194,0.3325,"Pinaceae","Tree","Tree","woody"
"12","Abies bracteata",NA,NA,NA,35.71,NA,NA,"Pinaceae","Tree","Tree","woody"
"13","Abies cephalonica",NA,NA,NA,71.43,NA,NA,"Pinaceae","Tree","Tree","woody"
"14","Abies cilicica",NA,NA,NA,115.38,NA,NA,NA,NA,NA,NA
"15","Abies concolor",30.5232,17.874595,2.430865,35.22014725,0.0317991266,0.37,"Pinaceae","Tree","Tree","woody"
"16","Abies delavayi",NA,NA,NA,NA,NA,0.4,"Pinaceae","Tree","Tree","woody"
"17","Abies fabri",NA,NA,NA,NA,NA,0.3729065,"Pinaceae","Tree","Tree","woody"
"18","Abies fargesii",NA,NA,0.995,NA,NA,0.36246675,"Pinaceae","Tree","Tree","woody"
"19","Abies firma",NA,NA,NA,39.9893216,NA,NA,"Pinaceae","Tree","Tree","woody"
"20","Abies forrestii",NA,NA,NA,NA,NA,0.405305333333333,"Pinaceae","Tree","Tree","woody"
"21","Abies fraseri",27.1272,NA,NA,7.26680033333333,NA,NA,"Pinaceae","Tree","Tree","woody"
