"","Coniferous","Dry","Mediterranean","Moist","Savannas","Taiga","Temp_Grass","Temp_Mixed","Trop_Grass","Tundra","Xeric"
"Coniferous",4759,244,106,807,22,732,364,1944,2,275,3094
"Dry",280,13272,9,18749,1284,225,148,485,435,28,3654
"Mediterranean",990,170,880,1181,31,378,187,563,167,55,1933
"Moist",178,5725,9,49111,2198,152,129,383,920,28,2458
"Savannas",388,1135,0,12619,4379,186,108,796,42,11,1203
"Taiga",494,4,0,263,0,967,97,1115,1,396,108
"Temp_Grass",1053,118,16,1514,162,629,1129,1999,107,140,1499
"Temp_Mixed",2056,80,82,876,27,693,532,4843,106,116,614
"Trop_Grass",38,248,73,7847,191,82,162,238,2225,19,829
"Tundra",231,2,1,191,0,743,14,120,0,584,17
"Xeric",2105,3899,216,12113,609,574,388,807,559,140,9813
