,Moist,Savannas,Dry,Xeric,Trop_Grass,Coniferous,Temp_Mixed,Temp_Grass,Mediterranean,Taiga,Tundra
Moist,83,50,43,25,41,4,8,11,1,16,5
Savannas,26,22,9,12,2,8,16,10,0,19,2
Dry,38,29,36,37,20,6,10,13,1,23,5
Xeric,25,14,29,33,25,44,17,34,25,59,24
Trop_Grass,16,4,2,8,20,1,5,14,8,8,3
Coniferous,2,1,2,32,0,40,40,32,12,76,47
Temp_Mixed,2,1,1,6,5,43,50,47,9,72,20
Temp_Grass,3,4,1,15,5,22,41,14,2,65,24
Mediterranean,2,1,1,20,8,21,12,17,14,39,9
Taiga,1,0,0,1,0,10,23,9,0,29,68
Tundra,0,0,0,0,0,5,2,1,0,77,31
